cod_ine,provincia,municipio,lon,lat
01001000000,Araba,Alegría-Dulantzi,-2.512,42.84
01002000000,Araba,Amurrio,-3.0,43.054
01003000000,Araba,Aramaio,-2.565,43.051
01004000000,Araba,Artziniega,-3.128,43.121
01006000000,Araba,Armiñón,-2.872,42.723
01008000000,Araba,Arratzua-Ubarrundia,-2.639,42.891
01009000000,Araba,Asparrena,-2.317,42.89
01010000000,Araba,Ayala,-3.043,43.078
01010000000,Araba,Aiara,-3.043,43.078
01011000000,Araba,Baños de Ebro,-2.679,42.529
01011000000,Araba,Mañueta,-2.679,42.529
01013000000,Araba,Barrundia,-2.494,42.915
01014000000,Araba,Berantevilla,-2.86,42.682
01016000000,Araba,Bernedo,-2.498,42.627
01017000000,Araba,Campezo,-2.352,42.67
01017000000,Araba,Kanpezu,-2.352,42.67
01018000000,Araba,Zigoitia,-2.73,42.962
01019000000,Araba,Kripan,-2.516,42.591
01020000000,Araba,Kuartango,-2.884,42.87
01021000000,Araba,Elburgo,-2.546,42.85
01021000000,Araba,Burgelu,-2.546,42.85
01022000000,Araba,Elciego,-2.617,42.514
01023000000,Araba,Elvillar,-2.544,42.568
01023000000,Araba,Bilar,-2.544,42.568
01027000000,Araba,Iruraiz-Gauna,-2.476,42.831
01028000000,Araba,Labastida,-2.793,42.59
01028000000,Araba,Bastida,-2.793,42.59
01030000000,Araba,Lagrán,-2.584,42.626
01031000000,Araba,Laguardia,-2.584,42.552
01032000000,Araba,Lanciego,-2.513,42.562
01032000000,Araba,Lantziego,-2.513,42.562
01033000000,Araba,Lapuebla de Labarca,-2.572,42.494
01034000000,Araba,Leza,-2.635,42.565
01036000000,Araba,Laudio,-2.963,43.143
01036000000,Araba,Llodio,-2.963,43.143
01037000000,Araba,Arraia-Maeztu,-2.444,42.739
01039000000,Araba,Moreda de Álava,-2.408,42.525
01039000000,Araba,Moreda Araba,-2.408,42.525
01041000000,Araba,Navaridas,-2.625,42.545
01042000000,Araba,Okondo,-3.019,43.162
01043000000,Araba,Oyón-Oion,-2.437,42.506
01044000000,Araba,Peñacerrada-Urizaharra,-2.714,42.644
01046000000,Araba,Erriberagoitia,-2.911,42.801
01046000000,Araba,Ribera Alta,-2.911,42.801
01047000000,Araba,Ribera Baja,-2.917,42.713
01047000000,Araba,Erriberabeitia,-2.917,42.713
01049000000,Araba,Añana,-2.986,42.801
01051000000,Araba,Agurain,-2.39,42.85
01051000000,Araba,Salvatierra,-2.39,42.85
01052000000,Araba,Samaniego,-2.679,42.567
01053000000,Araba,San Millán,-2.377,42.874
01053000000,Araba,Donemiliaga,-2.377,42.874
01054000000,Araba,Urkabustaiz,-2.907,42.953
01055000000,Araba,Valdegovía,-3.099,42.848
01055000000,Araba,Gaubea,-3.099,42.848
01056000000,Araba,Harana,-2.331,42.753
01056000000,Araba,Valle de Arana,-2.331,42.753
01057000000,Araba,Villabuena de Álava,-2.665,42.549
01057000000,Araba,Eskuernaga,-2.665,42.549
01058000000,Araba,Legutio,-2.643,42.98
01059000000,Araba,Vitoria-Gasteiz,-2.673,42.851
01060000000,Araba,Yécora,-2.47,42.569
01060000000,Araba,Iekora,-2.47,42.569
01061000000,Araba,Zalduondo,-2.347,42.886
01062000000,Araba,Zambrana,-2.878,42.661
01063000000,Araba,Zuia,-2.819,42.956
01901000000,Araba,Iruña Oka,-2.815,42.818
01901000000,Araba,Iruña de Oca,-2.815,42.818
01902000000,Araba,Lantarón,-2.966,42.717
02001000000,Albacete,Abengibre,-1.544,39.21
02002000000,Albacete,Alatoz,-1.361,39.095
02003000000,Albacete,Albacete,-1.856,38.996
02004000000,Albacete,Albatana,-1.523,38.571
02005000000,Albacete,Alborea,-1.397,39.278
02006000000,Albacete,Alcadozo,-1.98,38.649
02007000000,Albacete,Alcalá del Júcar,-1.429,39.193
02008000000,Albacete,Alcaraz,-2.49,38.664
02009000000,Albacete,Almansa,-1.094,38.87
02010000000,Albacete,Alpera,-1.231,38.96
02011000000,Albacete,Ayna,-2.071,38.552
02012000000,Albacete,Balazote,-2.151,38.884
02013000000,Albacete,Balsa de Ves,-1.197,39.265
02014000000,Albacete,El Ballestero,-2.455,38.843
02015000000,Albacete,Barrax,-2.2,39.046
02016000000,Albacete,Bienservida,-2.612,38.516
02017000000,Albacete,Bogarra,-2.213,38.58
02018000000,Albacete,Bonete,-1.348,38.87
02019000000,Albacete,El Bonillo,-2.54,38.95
02020000000,Albacete,Carcelén,-1.309,39.102
02021000000,Albacete,Casas de Juan Núñez,-1.558,39.102
02022000000,Albacete,Casas de Lázaro,-2.239,38.771
02023000000,Albacete,Casas de Ves,-1.335,39.259
02024000000,Albacete,Casas-Ibáñez,-1.471,39.287
02025000000,Albacete,Caudete,-0.989,38.706
02026000000,Albacete,Cenizate,-1.661,39.303
02027000000,Albacete,Corral-Rubio,-1.461,38.835
02028000000,Albacete,Cotillas,-2.506,38.431
02029000000,Albacete,Chinchilla de Monte-Aragón,-1.726,38.921
02030000000,Albacete,Elche de la Sierra,-2.048,38.448
02031000000,Albacete,Férez,-2.01,38.356
02032000000,Albacete,Fuensanta,-2.067,39.245
02033000000,Albacete,Fuente-Álamo,-1.432,38.693
02034000000,Albacete,Fuentealbilla,-1.549,39.268
02035000000,Albacete,La Gineta,-1.998,39.114
02036000000,Albacete,Golosalvo,-1.636,39.24
02037000000,Albacete,Hellín,-1.703,38.512
02038000000,Albacete,La Herrera,-2.126,38.962
02039000000,Albacete,Higueruela,-1.445,38.965
02040000000,Albacete,Hoya-Gonzalo,-1.557,38.958
02041000000,Albacete,Jorquera,-1.521,39.175
02042000000,Albacete,Letur,-2.101,38.366
02043000000,Albacete,Lezuza,-2.354,38.949
02044000000,Albacete,Liétor,-1.955,38.541
02045000000,Albacete,Madrigueras,-1.8,39.237
02046000000,Albacete,Mahora,-1.725,39.213
02047000000,Albacete,Masegoso,-2.315,38.719
02048000000,Albacete,Minaya,-2.32,39.271
02049000000,Albacete,Molinicos,-2.239,38.468
02050000000,Albacete,Montalvos,-2.028,39.167
02051000000,Albacete,Montealegre del Castillo,-1.325,38.787
02052000000,Albacete,Motilleja,-1.79,39.179
02053000000,Albacete,Munera,-2.483,39.04
02054000000,Albacete,Navas de Jorquera,-1.719,39.281
02055000000,Albacete,Nerpio,-2.302,38.148
02056000000,Albacete,Ontur,-1.499,38.615
02057000000,Albacete,Ossa de Montiel,-2.743,38.962
02058000000,Albacete,Paterna del Madera,-2.346,38.597
02059000000,Albacete,Peñascosa,-2.41,38.672
02060000000,Albacete,Peñas de San Pedro,-2.002,38.727
02061000000,Albacete,Pétrola,-1.555,38.826
02062000000,Albacete,Povedilla,-2.604,38.702
02063000000,Albacete,Pozohondo,-1.911,38.721
02064000000,Albacete,Pozo-Lorente,-1.506,39.077
02065000000,Albacete,Pozuelo,-2.101,38.81
02066000000,Albacete,La Recueja,-1.49,39.177
02067000000,Albacete,Riópar,-2.418,38.5
02068000000,Albacete,Robledo,-2.449,38.758
02069000000,Albacete,La Roda,-2.159,39.207
02070000000,Albacete,Salobre,-2.551,38.592
02071000000,Albacete,San Pedro,-2.186,38.827
02072000000,Albacete,Socovos,-1.985,38.332
02073000000,Albacete,Tarazona de la Mancha,-1.913,39.265
02074000000,Albacete,Tobarra,-1.693,38.592
02075000000,Albacete,Valdeganga,-1.676,39.135
02076000000,Albacete,Vianos,-2.501,38.632
02077000000,Albacete,Villa de Ves,-1.259,39.222
02078000000,Albacete,Villalgordo del Júcar,-2.063,39.296
02079000000,Albacete,Villamalea,-1.599,39.362
02080000000,Albacete,Villapalacios,-2.635,38.575
02081000000,Albacete,Villarrobledo,-2.607,39.268
02082000000,Albacete,Villatoya,-1.339,39.334
02083000000,Albacete,Villavaliente,-1.458,39.126
02084000000,Albacete,Villaverde de Guadalimar,-2.518,38.456
02085000000,Albacete,Viveros,-2.576,38.774
02086000000,Albacete,Yeste,-2.319,38.367
02901000000,Albacete,Pozo Cañada,-1.736,38.801
03001000000,Alacant,l'Atzúbia,-0.152,38.847
03002000000,Alacant,Agost,-0.639,38.439
03003000000,Alacant,Agres,-0.516,38.78
03004000000,Alacant,Aigües,-0.363,38.499
03005000000,Alacant,Albatera,-0.868,38.179
